id;media;vendas_2025;estoque
8670;1.67;18.0;10.0
8752;0.0;0.0;3.0
8753;0.0;0.0;1.0
8807;0.08;1.0;1.0
8806;0.0;0.0;2.0
8763;0.08;0.0;0.0
8762;0.0;0.0;1.0
8809;0.0;0.0;2.0
8808;0.0;0.0;2.0
8758;0.25;2.0;1.0
8757;0.25;1.0;3.0
8756;0.0;0.0;2.0
8755;0.0;0.0;2.0
8754;0.0;0.0;1.0
8759;0.08;0.0;3.0
8761;0.0;0.0;3.0
8820;0.0;0.0;0.0
8726;0.0;0.0;2.0
8889;0.0;0.0;0.0
8725;0.0;0.0;0.0
8735;0.0;0.0;2.0
8734;0.0;0.0;0.0
8733;0.17;2.0;0.0
8731;0.5;4.0;0.0
8732;0.0;0.0;2.0
8728;0.0;0.0;2.0
8795;0.0;0.0;1.0
8727;0.0;0.0;2.0
8729;0.25;2.0;1.0
8730;0.08;0.0;2.0
8679;1.17;8.0;0.0
8724;0.0;0.0;2.0
8723;0.0;0.0;2.0
8680;0.67;4.0;0.0
8722;0.0;0.0;2.0
8682;0.17;0.0;0.0
8716;0.25;0.0;5.0
8681;0.75;6.0;8.0
8721;0.08;0.0;3.0
8720;0.08;0.0;1.0
8678;1.17;9.0;16.0
8715;0.33;3.0;0.0
8737;0.08;1.0;0.0
8736;0.0;0.0;1.0
8838;1.58;19.0;16.0
8839;0.5;6.0;6.0
8844;0.0;0.0;6.0
8687;1.5;12.0;6.0
8842;0.25;3.0;0.0
8684;13.25;84.0;59.0
8796;10.33;107.0;5.0
8685;0.0;0.0;5.0
8840;0.33;4.0;0.0
8686;0.0;0.0;5.0
8688;0.25;0.0;5.0
8949;0.0;0.0;41.0
8234;45.0;345.0;1197.0
8225;30.83;110.0;922.0
8216;24.5;104.0;553.0
8095;35.33;330.0;78.0
8422;7.5;10.0;300.0
8085;17.5;66.0;704.0
8087;0.08;1.0;1.0
8086;0.33;1.0;4.0
8088;0.08;0.0;0.0
1023;0.0;0.0;3.0
1024;0.0;0.0;3.0
8096;0.83;0.0;225.0
8084;0.0;0.0;109.0
1025;0.0;0.0;0.0
8816;0.0;0.0;3.0
8081;0.0;0.0;1.0
8082;0.0;0.0;2.0
8818;0.0;0.0;5.0
8819;0.08;1.0;4.0
8190;0.17;2.0;18.0
8191;0.0;0.0;0.0
8192;0.0;0.0;8.0
1126;0.0;0.0;12.0
1127;0.08;1.0;23.0
1128;0.0;0.0;6.0
1129;0.0;0.0;10.0
8089;0.0;0.0;7.0
8215;0.08;1.0;0.0
